"ID";"Geracao";"Paridade";"Status";"Nome";"Observacoes"
"=""0199""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0198""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0197""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0196""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0195""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0194""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0193""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0192""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0191""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0190""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0189""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0188""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0187""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0186""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0185""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0184""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0183""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0182""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0181""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0180""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0299""";"G02";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0298""";"G02";"Par";"Livre";"";"Sugestao topo inverso"
"=""0297""";"G02";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0296""";"G02";"Par";"Livre";"";"Sugestao topo inverso"
"=""0295""";"G02";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0294""";"G02";"Par";"Livre";"";"Sugestao topo inverso"
"=""0293""";"G02";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0292""";"G02";"Par";"Livre";"";"Sugestao topo inverso"
"=""0291""";"G02";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0290""";"G02";"Par";"Livre";"";"Sugestao topo inverso"
"=""0289""";"G02";"Impar";"Livre";"";"Sugestao topo inverso"
